,text
24,"12월 05일 17시 (12월 05일 00시 기준),
대한민국의 코로나바이러스 현황

[오늘 사망자] 43 명
[재원 위중증] 744 명
[신규 입원자] 800 명
[오늘 확진자] 5,128 명

#위드_코로나 #단계적_일상회복
#코로나바이러스감염증 #국내확진자"
25,"사천시장애인종합복지관, 따뜻한 겨울나기 김장하는 날 펼쳐~
‘위드 코로나 극복! 사랑 채움! 건강 채움!’이라는 슬로건으로 지역 장애인 50가정에 전달

https://t.co/P7B7TZFkDm 

#사천시 #한국부인회 #사천읍적십자 #용현면적십자 #사천여성회 #삼천포홈플러스 #삼천포성당 #남척석유 #김장하는날 https://t.co/APeipxQfEm"
26,…? 백신 미접종자 2명 이상은 모이면 안 되는거야…? 백신패스를 이렇게…? https://t.co/7I4VEB1X34
27,팝콘먹으려고 백신패스관 예매했는데 팝콘도 못샀어 진짜루 속상
28,@SBS8news 사람들이 위드코로나 노래를 부르면서 이미 일상으로 돌아간 거 마냥 어딜 가나 사람들 바글바글하게 생활들하더니 원하는 게 이런 거였음?
29,https://t.co/wBV6qiCYNN (더 친일극우): 백신패스 자영업자들 개빡침 ㄷㄷ https://t.co/AEORllNlPa https://t.co/5T1FHuVaPj
30,20일부터 방역 패스에 6개월의 유효기간을 설정한다라..... 10월부터 추가 백신 맞으라고 연락 온 걸 면역력 저하로 미루고 있었는데 이젠 맞아야겠네 ㅠ
31,"농구장도 백신패스적용.

https://t.co/D3zMhMrbwn"
32,@mon0_si 영화관도 백신패스관 생겼다가 터져서 다시 쏙들어갔다잖아요.. ㅎ..
33,방역패스 이거 백신미접종자는 음성확인문자보여주면되나? 트친들 아시는분?ㅜ https://t.co/9bJWsLnlxE
34,"백신패스라니
나 안맞는데"
35,"위드코로나로 만명까진 예상했다면서
왜 위중증환자는 예상못한거지 ?.?
백신효과가 생각보다 빨리떨어졌나..? https://t.co/Tq8lHGULF9"
36,"방역패스가 논란이다. 왜 반대하는지 모르겠다.

백신도 안 맞고 책임도 안 지고 누릴 거 다 누리고 싶은 걸까? 이기적인 사람들. 

18세 이상 접종완료자는 90%를 넘었다.
도대체 뭐가 문제인가

10%도 안되는 사람들 중 기저질환자, 알러지인 분들은 너무 안타깝지만, 음성 확인증만 있으면 된다."
37,"'백신패스 결사 반대'하는 고2학생의 청와대 청원이 며칠 만에 20만을 넘겼다.
청와대 답변이 나오면 정권이 백신 이용하는 본심을 좀 알 수는 있겠지만...이미 정권의 악마성이 다 드러난 마당에 굳이 반성하는 척 거짓 얼굴을 보이는 일은 없을 것이라 생각.. https://t.co/SqXBPh1Fp5"
38,"‘위드 코로나’ 이후 한국만…‘치명률 역주행’ 
https://t.co/h0b3Y9Ou3x 
 “치명률은 결국 국가가 생명을 얼마나 잘 지켰는지 보여주는 지표”
“부족한 병상 등은 정부가 세세하게 공개하지 않을 수도 있지만 목숨을 잃은 환자를 숨길 수는 없기 때문에 치명률은 감염병 대응 실태를 정확하게 보여준다” https://t.co/taw39t1PfL"
39,위드코로나 장렬하게 침몰 https://t.co/FF76LSV0Mq https://t.co/ywj6AlmPAI
40,@dongdongiska 헉 12일까지 취소면 그 이후부터 백신패스 적용되서 그런거 아닐까요..? 이번주 계도기간이라 그런것 같은데ㅠㅜ 그걸 오늘 알려주냐구여ㅠㅠㅠㅠ
41,위드코로나 중단 적극 검토라니... 그래 그럴 수밖에 없지
42,"내가 제일 궁금한거
학원에서는 백신패스 하는데 학교는 왜 아닌가요?
학교는 더 안전한가요?"
43,백신을 맞긴 맞아야되겠네… 안맞으면 일상생활 불가능한거 아닌가 그냥 말만 백신패스지 미접종자는 밖에 나오지도 말라는 거잖아
44,@ATripTo_Zung 위드코로나 되어서 태국은 자가격리 면제 라서 한번 가보려고 했드만 (바잇미 굿즈 산다고 여권도 재발급 했고ㅋ) 암튼 위드코로나가 종료되니...그래서 태국 못갈거 같아 속상한 마음에😭😭😭
45,"위드코로나 멈췄다… 사적모임 수도권 6명, 비수도권 8명 (출처 : 국민일보 | 네이버 뉴스) https://t.co/gNxy31I9HM"
46,이따 10시부터 백신패스 증명 안되시는 분들 취소 가능한데... 과연 풀리는 자리가 있을까? 예대가 터질까?
47,백신 맞는걸 강요는 못하지만 그래도 맞으면 좋지않을까요••• 백신패스때문에 안 맞으면 못 누리는 혜택도 많구••• 저도 부작용 심햇는데 잘버텨냇어요
48,"📣📣📣오경석ㅡ미국 애틀란트대학 한의대교수☞☞한국정부가 백신패스에 열을 올리며 아이들까... 
https://t.co/Zf7JpwpG3J"
49,확진자 수 계속 세면서 불안감 들게 할거면 위드코로나를 애초에 왜 한거야 거리두기나 하지 ㅜㅜㅜㅜ
50,식당이랑 카페에서도 백신패스 한다는 거 ㅈ같아서 당일 예약 2차 맞으러 가는 중 살아서 돌아옴
51,지금 학원 관계자가 나이지리아 갔다 와서 새 병 끌어온 사람 있나?  도서관에서. 음식물 나눠 먹다가 단체 감염 된 사람 있나?  스터디 카페에서. 입에다 소금 물 뿌리다가 단체 감염 된 사람 있나?  종교 단체에는 백신 패스 안하면서 누구에게 지랄?
52,"백신패스관에서 허용됐던 영화관 내 음식물 섭취가 다시 금지됐습니다. 

[씨네21] 영화관 내 취식 다시 금지 |  https://t.co/o1ieoDCnjM"
53,방역패스… 면 뮤지컬도 백신 맞아야지만 들어가나…?
54,"""아들 백신 맞고 사지마비됐는데..정부 방역패스, 2차 가해 아닌가요"" | 다음 뉴스 https://t.co/sBGzhBnxze"
55,@My_podoal @a_kong0901 아직 백신 접종 안하신 거예요?? 알러지반응같은 문제로 백신 접종 못하는 사람들은 보통 pcr검사로 가능한 것 같은데.. 이번에 새로 나온 백신패스도 접종 안한 1인까지는 식당 및 카페 출입 허용 가능한 걸로 알고 있어요.
56,"RNA 바이러스가 무서운 건 변이 때문이다. 백신이 무용지물. 그란데 백신접종완료 입국자 자가격리 면제 같은 걸 하고 있었다. 이건 국내 상황도 마찬가지. 백신패스는 접종완료자 변이 바이러스 프리패스

목사 부부·지인, 최소 80명 접촉… 1명은 격리 前 6일간 돌아다녔다 https://t.co/YQgWMbfoX2"
57,록다운과 백신패스에 대한 반감을 이용해 먹는 유럽 극우 https://t.co/ifusZFP04g
58,"신규확진·위중증 환자 모두 ‘역대 최다’… K방역 붕괴 위기

https://t.co/G0oWwZO5Ku

‘단계적 일상회복’ 전환 이후 국내 코로나19 신규 확진자와 위중증 환자가 역대 최다 기록을 세웠습니다. 사망자도 크게 늘어 ‘K-방역’의 위기감은 더욱 가중되는 모양새입니다. #위중증환자 #K방역"
59,"백신접종 강요가 아니라 사람대접은 한다는 얘기
사람이라면 공공의 안전을 위해 백신접종 받읍시다.

이재갑 교수 “방역패스 확대 불만이시라고요?” https://t.co/GP8rCRrPfs"
60,"제주, 6일부터 사적모임 '8명' 제한...방역패스 적용 확대 
'위드 코로나' 4주간 중단...일상회복 방역조치 강화
식당·카페·학원·영화관 등 방역패스 적용시설 확대
""방역수칙 준수 자율 동참, 12세 이상 예방접종"" 당부
https://t.co/XfUc63UeJ3"
61,아나 뮤지컬 티켓 겨우 잡았는데 못 갈 거 같은 예감.............. 위드 코로나 왜한거냐 확진자수만 천장찍고 다시 4단계 재돌입하고... 나는 티켓 취소하고..^^ 짜증이 스멀스멀
62,"위드 코로나 잠시 멈춘다…수도권 6명, 식당·카페 '방역패스' (출처 : JTBC | 네이버 뉴스) https://t.co/Q9TRZS8RM6"
63,유치원 졸업식 때 백신패스라 자긴 코로나 테스트 해서 음성증명해야해서 손해란다… 백신 맞은 사람들 덕분에 졸업식 열리는 건 모르고. 오늘도 맘카페 보다 속 뒤집어진다
64,얘들아 백신패스 그거 올해 미자도 적용되나
65,팬싸도 걍 위드코로나해 ㅡㅡ 아크릴치워
66,"유승준, 백신에 이어 jtbc 드라마 설강화 관련 성시경 망언 논란 https://t.co/1PXX1y0LMf 출처 @YouTube 저 놈은 백신접종도 거부할 정당한 권리가 있다고 했지.그래놓고 지금 지가 뛰는 방송참가자들, 백신패스 확인은 하고있나 궁금하다.너놈의 권리주장이 다수의 안전을 위협할 수 있다면 테러"
67,가족들아 이거 청원 동의 좀 해줄수있니..?🥺 백신패스 자격 못 얻으면 2월 1일부터 학원/스카/독서실 이용 금지래.. 알티도 해줬음 해.. 다른건 다 그러려니 하는데 진짜 이 정책은 말이 안돼 학생은 대부분은 공부가 전부인데 그 길을 다 막아버린다는게 https://t.co/5zFRRgEbn0 https://t.co/3Wms6JJjlt
68,위드코로나 끝이네
69,"방역패스가 학원가에도 적용되어 애들한테 백신을 강제하네 마네 소리가 계속 나오지만, 맞은 사람들이 일궈낸 보호 체계에 백신 안맞은 인간들이 무임승차하는 꼴 보고싶진 않다. 

근데 '종교 시설' 방역패스 미적용은 너무 투명한거 아니냐. 국교 없는 나라인데도 법 위에 종교 있는게 사실이다. https://t.co/jsp7MaHbmf"
70,"'방역패스' 확대되는데…백신 부작용 우려 여전
https://t.co/82caqWHpXI"
71,"ㅆㅃ 도대체 확진자 수 늘어나는걸 왜 학생들 등교수업 탓을 함? 정신없이 놀이공원, 클럽, 술집 가는 미친놈들이나 제재하라고 ㅅㅂ놈들…위드코로나 됐다고 목줄 풀린 미친개 마냥 돌아다니지 말라고
그지같은 기사 나올 때 보면 티비 부수고싶음"
72,6개월에 한번씩 전국민이 다 백신미접종자 되는데 뭔 개소리를 씨부리고 있어. 그냥 병상확보 못한 죄로 위드코로나 하려면 중증환자 늘어나면 안되니까 백신 좀 맞아주세요. 인과관계는 저희도 잘 몰라요 솔직하게 얘기하고 구걸하는게 빠르지 않겠니 배운놈들이 어쩜 저렇게 띨할까
73,"@WINTER_S0M 팝콘못먹어
저거 백신패스관붙은거 6일부터 2차접종자만 영화볼수있어서 붙어있는거임"
74,"위드코로나 '중단'…사적모임 수도권 6명·비수도권 8명
다음주 부터라넹"
75,제아언니보러가라고 우리부장님이 12월10일로 3차예약했나부다 백신패스 덕보네~~
76,"@ranpeachran 백신을 누가 뭐라나요?
백신패스요.
그게 문젠데 그걸 왜 강화하고 강제하재요?"
77,"[코로나 거리두기] 방역패스·백신 미접종자·사적모임 Q&amp;A 총정리
https://t.co/GvCtlQtcLD"
78,"주변에 백신 안맞은, 거부자들 왜이렇게 많아? 방역패스 덕분에 알게되었네"
79,@aseol814 우리나라는 락다운을 한적이 한번도 없습니다. 그리고 자영업자들 살려야한다고 위드 코로나 가야한다고 언론과 국민들이 그렇게 지속적으로 요구해와서 단계적 일상전환을 실행하고 있는겁니다. 정부가 단계적 일상회복하면서 언급했듯이 만명은 기본 넘게 될겁니다.
80,"""후유증 때문에 백신 못 맞는데…"" 방역패스 강화 난처한 시민들 https://t.co/uFgyG12TH6"
81,백신패스가 뭔소리야?
82,@garam_arion 오.....위드코로나는 무슨...ㅋ...망했써요 망했숴
83,어카지 나 이제 사퍼 아예 못 할 듯...ㅅㅂ  확진자 5000명 넘어가서 이제 위드 코로나 막을텐데 그럼 또 피방 10시 제한이겠지? ?  ?
84,@xiu99_bh 솔직히 지금 백신패스 반대하는거보면 진짜 중증질환자 거의없어요 ㅋㅋ오히려 진짜 중증인사람들은 본인면역+주위 민폐끼칠까 위험해도 맞고있는데 어디서 이상한 기사주워듣고들..어휴
85,"쥐랄!그럼백신안맞고 전염되면 죽던살던 혼자해결해야되겟쮜?

백신 패스 반대 국민청원 20만 돌파, 대구 고2 올린 청원서 ＂이 정부 참 무능＂ (출처 : 매일신문 | 네이버 뉴스) https://t.co/RothWrBdGp"
86,백신 미접종자들은 조신하게 지내는데 백신 패스 들고 휘젓고 다니는 것들이 바이러스 전파하는 것이 현실이지. 감염자 다수가 돌파 감염이지만 전파자는 대부분이 백신 접종자인 것이지.
87,@hiDangzi 아직 위드 코로나 중인데 담주중에 4단계가 된다는 소문이.....
88,@ngi6022 와...이렇게되면 위드코로나 취소되는게 아닌지...
89,"&lt;국민서명광장 서명&gt;
국민서명을 100% 달성을 하게 되면 언론사에 기사화를 시켜주고, 해당 분야 전문가 공식적인 문서로 관계 당국에 공식적인 답변 요청을 하게 된다. 

백신패스반대 온라인 서명 바로가기  https://t.co/fQSKoyOy38 https://t.co/U8NgKvCPcM"
90,"'위드코로나'가 위드 못 했다.😢
백신 안 맞으면 식당, 카페, 영화관 못 가는 '거리두기' 온다.
https://t.co/V9lVcMgAvQ"
91,"방역패스 반대 고2 청원을 보았다. 확률을 과대평가한대표적 사례 , 이번주에 내가 복권을 샀을때 복권에 당첨된 확률이 1/2가 아닌것처럼 백신을 맞는다고 해서 죽을 확률이 1/2가 아니다.특히 미성년은 성년보다 백신사망 확률이 낮고 지금까지 사망자는 나오지 않았다. 미국도 .음모론할꺼면"
92,＂백신 부작용 심한 사람은 밥도 못먹나요＂...백신패스 확대적용에 미접종자들 '울분’ (출처 : 서울경제 | 네이버 뉴스) https://t.co/phcWNWvAu2
93,시민회관 같은 정부 시설은 오늘부터 4주간 백신패스 도입한다네. 이전에 대관한 공연은 어쩌라고 이런 미친짓이지. 관계자들은 비상이네.
94,백신패스 있어야 하는데 부스터샷 맞을 생각이 없는 나...
95,"안철수가 무당이야? 백신이야?
방역 해결사면 해결책을 내놔야지..
안철수 방역 대책이라는게.. 꼴랑..
현정부와 똑 같은..
접종 확대하고, 백신패스 도입하자 잖아요..
그걸 현정부가 하면 실패고, 안철수가 하면 되는거야..
그게 과학이야? ㅋㅋㅋㅋㅋㅋㅋ https://t.co/NeAFEe8HpB"
96,울 이모 마블 짱 조아하는디 영화관 전부 백신패스관 돼서 영화 못봄 그러게 백신 접종하라니까 부작용 어쩌구 헛소리하면서 안 맞더니…쌤통이다…근데 내일 고기 사준대서 이 말은 속으로 삼켰다
97,퇴사해서 좋긴한데 미래에 대한 불안감이 커 면접때 백신 패스 왜 없냐고 하면 아파서 없다고 하면 아픈 사람 또 안 뽑잖아 ㅜㅜ
98,여차함 극장도 다 백신패스 적용해!!
99,이제 ‘백신 패스’해야 현장 취재 가능한 시대 https://t.co/QIboa3Paqv https://t.co/l6Rs4B4Jp3
100,안티백서들 식염수 놔주고 백신패스 허위등록 해준다고 하고 식염수 대신 백신 놔주는 상상
101,아니근데빡치네 집안이 다 심장이 안 좋아서 백신을 못 맞았는데 그럼 백신패스 확대되면 이것도 못하고 저것도 못하고 팬텀도 못 보고 (이게 젤 분함) 뭐 어쩔 저쩔
102,"백신패스 생기고 나서 카페에서 생기는 일
1. 접종서 보여달라고 하니 “뺏지 보여주면 된다 카더만”하는 빌런
2. 무조건 큐알 해야한다니 명부 작성한다고 해서 접종서 보여달라니까 짜증 오지게 내는 빌런
3. 계도기간이 있으니 담부턴 해달라고 했더니 지랄하는 빌런"
103,그..인정 범위에 대해서는 논란이 아직 있기는 하지만 여하튼 백신맞아야지만 발급 받을 수 있는 거 아니고 예외가 존재하긴 할 예정인데... 백신패스=백신맞은사람 이케 무조건이라 오해하는 사람..많네...
104,"⚠단계적 일상회복 2차 개편 '유보'
⚠특별방역대책 4주간 실시
*2021.11.29.(월)~12.26.(일) 4주간

💬정부 발표에 따라 단계적 일상회복 2차 개편을 유보하고 재택치료 전환, 병상 확보, 추가접종 시행 등 방역체계를 강화할 예정입니다. 

🔍자세히보기
https://t.co/TV1nopWr8i https://t.co/LKgvG9FXBB"
105,ㅋㅋ 단계적회복은 개뿔로 위드 코로나 한다 할 때 부터 대충 알아 봤다 https://t.co/SM8pc0GU4j
106,"백신 맞고 싶어도 못 맞는 사람도 있어요.......
백신패스 아주 거지같애 누구 대가리에서 나온 생각인지"
107,백신패스에 전석오픈이라...이래도 저래도 걱정이네;;
108,백신맞고 지인분 세명이나 돌아가셔서 나 절대 안맞기로 다짐했는데 개시발백신패스적용하고 자빠졌냐 시발 정치1도 모르는데 싹다암살하고픔 내가 ㅂ나라를 이끌어도 더 잘할듯 개시발
109,"12월 05일 21시 (12월 05일 00시 기준),
대한민국의 코로나바이러스 현황

[오늘 사망자] 43 명
[재원 위중증] 744 명
[신규 입원자] 800 명
[오늘 확진자] 5,128 명

#위드_코로나 #단계적_일상회복
#코로나바이러스감염증 #국내확진자"
110,"2. 대규모 연말 파티나 신년회 열고 싶다

작년에는 코로나 때매 못 했고… 올해는 일상회복 단계라서 할 수 있으려나? 했더니 어림도 없지 변동 바이러스와 사회적 거리두기 복귀…"
111,@xXJune6 위드코로나 베타서비스 종료 임박!
112,@hoho_haha__ 영화도 백신패스 관은 이미 그렇게 운영하고 있더라구요
113,"@XcrWbi 앗 네!! 백신 2차까지 다 맞아야하는 곳은
백신패스관인걸로 알고있어요"
114,@banggu826 6학년에서만 확진자 5~6명 나왔는데 위드 코로나라서 같은 반 아닌 애들은 그냥 계속 등교임
115,"이탈리아와 미국에서 대량 적발된
백신접종 위조증명이 
이제 백신패스 한국에서도
출현할 가능성이 높아짐.

안티백서들의 뇌구조를
이해할 수는 없지만 하여간 
맞기는 싫고 다니고는 싶다더라.

무식한 인간들이나 그럴 것 같지만
독일에선 프로감독이 걸려서 짤렸다.

_
https://t.co/kDS3Cik8Ur"
116,"아니 근데 시발
부스터샷 안맞으면 방역패스 안해준다는 건 대체 어떤 새끼 뇌에서 나온거냐

백신맞고 부작용 일어난 사람들 다 쌩까겠다는 마인드네 진짜 문재인 이 씨발놈은 하루하루가 레전드다"
117,"병상준비를 전혀 안 헀죠. 단지 백신 접종률만 80%까지 끌어 올렸는데, 유럽에서 위드 코로나를 할 때 접종률은 이 보다 낮았어. 국민을 죽이는 정부, 백신 접종으로 책임 회피.. https://t.co/TLiS962DGB"
118,"백신패스 진짜 무서운데
난 기저질환 심장질환 피부질환 다 있어서 안맞고있단말이야..
어떡함....?"
119,다중이용시설 방역패스면 백신접종자 or 음성확인서 없으면 이용 못 한다는 거지?
120,"""이게 K방역이냐, 민주당에 참 실망""…백신패스에 분노한 고2 학생 - 매일경제 https://t.co/CbVUOTj7jF"
121,"근데 씨ㅡ발 도서관은 문 하나만 열고 백신패스 이지롤하는데 왜 바로 옆 학식이랑 강의실은 왜 그런거 없는데 
시험기간이라 여기있는 새기가 저기있는 새기나 그게 그거인데"
122,"*아트나인은 12/6일부터 백신패스관으로 운영됩니다.
[입장가능(백신접종 유효) 기준]
^백신 2차까지 접종한 후 14일 이상 경과
*접종완료자 외 입장 허용 기준
- PCR 검사 음성자(48시간 내)
- 코로나 감염 후 격리 해제자
(완치된 지 6개월 이내, 격리해제확인서 필요)"
123,"백신패스는 위헌(헌법소원): 국가의 주체인 주권자의 존엄을 짓밟고 헌법이 보장하는 신체의 자유를 침해하는 '백신패스(청소년 학원 방역패스)' 즉각 중단하라‼‼‼
.
어린이, 청소년에게 백신 접종 자율권을 보장하라‼
.
━ 전국교직원노동조합
.
https://t.co/EgGlTYxEQM https://t.co/OAZMD1AAi2"
124,"백신 안맞은 니 자식 새끼 때문에 다른 집 귀한 자식들 코로나 걸리면 책임질래? 이런 쓰레기들이 집값 떨어진다고 장애인 학교 막으려 지랄발광 하던 것들이다. 

""왜 학원‧독서실만?"" 학생‧학부모 '방역패스' 불만 폭주.. 유은혜 ""현재로썬 백신 접종이 최선"" | 다음 뉴스 https://t.co/jFpyGNq4MH"
125,"도서관에 백신패스 도입
와! 신난다! -&gt; 이용자
와! 죽을게! -&gt; 사서"
126,백신패스 되니 신검이 더더욱 필수가 되버렸네
127,@is_yami_ 위드코로나라면서 이제 숫자놀이는 그만해야될거같아요..
128,"위드 코로나 되니까 나 쉬는 날 맞춰서 사방천지로 끌고 다니네 

낼은 진주성이냐...  
혼자 드라이브하는 게 좋다고 난..... 

귀찮아서 안 깐 백신 패스 깔아야겠다... https://t.co/ckqtHyLhEf"
129,"백신패스 학원/공부방(스터디카페 또는 독서실) 2월 1일부터 적용
만12세~18세는 백신안맞으면 2주에한번 PCR검사(코쑤시는거)해서 음성나와야함
안하면못감

예외사항: 기저질환자, 바이러스완치자(6개월이내), ~만11세"
130,"백신 미접종자 식당·카페 출입 막는다..수도권 6인 제한(종합)

중대본 ""내주부터 4주 수도권 6인·비수도권 8인 제한""
""식당·카페도 방역패스 적용..일주일간 계도기간""
""내년 2월부터 청소년 찾는 대부분 시설 방역패스""
식당·카페·술집 등 운영시간은 강화 없이 현재대로 https://t.co/F9djnQkEhu"
131,@sowhatwww 백신패스 있으면 돼
132,"위드코로나 어쩌고 하더니
확진자 7.000명이 넘어가니
호주로 도망간건가 ? https://t.co/Xi3IjiXuYj"
133,@annyaseyeon 위드코로나 하더니 망해ㅛ어^^^
134,"12월 08일 06시 (12월 07일 00시 기준),
대한민국의 코로나바이러스 현황

[오늘 사망자] 64 명
[재원 위중증] 774 명
[신규 입원자] 716 명
[오늘 확진자] 4,954 명

#위드_코로나 #단계적_일상회복
#코로나바이러스감염증 #국내확진자"
135,@1201eovlth 하 맞아요.. 요즘 백신패스 관련해 문제만 해도 헌법을 무시하는 수준인데 높은 사람들은 아무도 이런 말을 안 들어줘요
136,"@kkokkokko0117 절대 지켜야됩니다아ㅠㅠ
흐규 백신패스가 덕후 잡네 잡어(?)"
137,"근데,, 단계적일상회복 단어안쓰고 위드코로나라고해서 쫌,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
138,"오늘 할일
한능검 강의듣기
딴짓하기
백신패스 찾아보기"
139,"12월 08일 02시 (12월 07일 00시 기준),
대한민국의 코로나바이러스 현황

[오늘 사망자] 64 명
[재원 위중증] 774 명
[신규 입원자] 716 명
[오늘 확진자] 4,954 명

#위드_코로나 #단계적_일상회복
#코로나바이러스감염증 #국내확진자"
140,아 맞어 저번에 백신패스관에서 봤는데 난 그냥 백신패스관이니 최소한 백신 안맞은 사람은 없겠구나~ 했는데 뒷 자리 사람들이 팝콘 먹는거보고 먹고싶다 생각한 동시에 그래도 지금 확진자수가... 먹는건 쫌...&lt; 생각했음😇
141,"#안철수 국민의당 대선 후보 정책 기자회견 &lt;위드코로나 문제와 정책 대안&gt; 전문

https://t.co/6dvwlm5Oxs"
142,@_Human_0oOo0 근데 또 백신패스 유효기간이 6개월이라는데 어느정도 텀 두고 맞아야 유효기간 길게 쓸 수 있을 것 같기도 해요! 여튼 해치워버리고싶은 맘 저도 쌤쌤…  ㅠㅠ
143,"접종률에 들떴나…정부 오판이 일상멈춤·의료체계 붕괴 불러
https://t.co/kYFbJSNgjJ

코로나19로 고통받는 국민에게 일상을 돌려주려던 정부의 계획이 위드코로나 도입 한 달 만에 파국을 맞고 있다. 11월 들어 신규 확진자 최다 기록은 6번 바뀌었고 8일 기준 7000명을 넘어섰다."
144,"2차 접종 증명서 있어야 한다고 해서 난감할 뻔 했지만, 예전에 스캔해둔 게 있었지. 사실 그럴 것 같아서 찾아보았는데 어딘가로 사라진 나의 종이 접종 증명서와 백신 패스… 잘 챙겨둔다고 어딘가 챙겨뒀다가 못찾고 있는 게 분명해. 이번에도 스캔 잘 해둬야지."
145,"뱀재앙버러지가 백신패스를 식당, 카페로 확대한답니다.
1인은 상관없대요.
효과도 없고 만수무강 못하게 하는 백신은 왜 그케 기를 쓰고 맞힐라고 발악을 하냐?
그 뱀새끼, 믿을 수가 있어야지~,.~"
146,전교조도 백신패스 반대한다. 왠일이래? https://t.co/zn0fOT1DKn
