,han_text
55,  아직 백신 접종 안 하신 거예요 알레르기반응 같은 문제로 백신 접종 못하는 사람들은 보통 검사로 가능한 것 같은데 이번에 새로 나온 백신 패스도 접종 안한 인까지는 식당 및 카페 출입 허용 가능한 걸로 알고 있어요
56, 바이러스가 무서운 건 변이 때문이다 백신이 무용지물 그란데 백신 접종 완료 입국자 자가 격리 면제 같은 걸 하고 있었다 이건 국내 상황도 마찬가지 백신 패스는 접종 완료다 변이 바이러스 프리 패스 목사 부부 지인 최소 명 접촉 명은 격리  일간 돌아다녔다 
57,녹다운과 백신 패스에 대한 반감을 이용해 먹는 유럽 극우 
58,신규 확진 위중 증 환자 모두 역대 최다 방역 붕괴 위기단계적 일상 회복 전환 이후 국내 코로나 신규 확진자와 위중증 환자가 역대 최다 기록을 세웠습니다 사망자도 크게 늘어 방역의 위기감은 더욱 가중되는 모양새입니다 위중증 환자 방역
59,백신 접종 강요가 아니라 사람대접은 한다는 얘기 사람이라면 공공의 안전을 위해 백신 접종 받읍시다 이재갑 교수 방역 패스 확대 불만이시라고요 
60,제주 일부터 사적 모임 명 제한 방역 패스 적용 확대 위드 코로나 주간 중 단일상 회복 방역조치 강화 식당 카페 학원 영화관 등 방역 패스 적용 시설 확대 방역수칙 준수 자율 동참 세 이상 예방접종 당부
61,아나 뮤지컬 티켓 겨우 잡았는데 못 갈 거 같은 예감 위드 코로나 왜 한 거냐 확진자 수만 천장 찍고 다시 단계 재돌입하고 나는 티켓 취소하고 짜증이 스멀스멀
62,위드 코로나 잠시 멈춘 다수도 권 명 식당 카페 방역 패스 출처    네이버 뉴스 
63,유치원 졸업식 때 백신 패스라 자긴 코로나 테스트해서 음성 증명해야 해서 손해란다 백신 맞은 사람들 덕분에 졸업식 열리는 건 모르고 오늘도 맘 카페 보다 속 뒤집어진다
64,얘들아 백신 패스 그거 올해 미자도 적용되나
65,팬싸도 그냥 위드 코로나 해 ㅡㅡ 아크릴 치워
66,유승준 백신에 이어  드라마 선 강화 관련 성시경 망언 논란  출처  저놈은 백신 접종도 거부할 정당한 권리가 있다고 했지 그래놓고 지금 지가 뛰는 방송 참가자들 백신 패스 확인은 하고 있나 궁금하다 너 놈의 권리 주장이 다수의 안전을 위협할 수 있다면 테러
67,가족들아 이거 청원 동의 좀 해줄 수 있니 백신 패스 자격 못 얻으면 월 일부터 학원 스카 독서실 이용 금지래 알티도 해줬으면 해 다른 건 다 그러려니 하는데 진짜 이 정책은 말이 안 돼 학생은 대부분은 공부가 전부인데 그 길을 다 막아버린다는 게  
68,위드 코로나 끝이네
69,방역 패스가 학원가에도 적용되어 애들한테 백신을 강제하네 마네 소리가 계속 나오지만 맞은 사람들이 일궈낸 보호 체계에 백신 안 맞은 인간들이 무임승차하는 꼴 보고 싶진 않다 근데 종교 시설 방역 패스 미적용은 너무 투명한 거 아니냐 국교 없는 나라인데도 법위에 종교 있는 게 사실이다 
70,방역 패스 확대되는데 백 신 부작용 우려 여전
71,ㅆㅃ 도대체 확진자 수 늘어나는 걸 왜 학생들 등교수업 탓을 함 정신없이 놀이공원 클럽 술집 가는 미친놈들이나 제재하라고 ㅅㅂ놈들위드코로나 됐다고 목줄 풀린 미친개 마냥 돌아다니지 말라고 거지 같은 기사 나올 때 보면 티브이 부수고 싶음
72,개월에 한 번씩 전 국민이 다 백신 미접종자 되는데 뭔 개소리를 씨불이고 있어 그냥 병상 확보 못한 죄로 위드 코로나 하려면 중증 환자 늘어나면 안 되니까 백신 좀 맞아주세요 인과관계는 저희도 잘 몰라요 솔직하게 얘기하고 구걸하는 게 빠르지 않겠니 배운 놈들이 어쩜 저렇게 띨할까
73, 팝콘 못 먹어 저거 백신패스관붙은거 일부터 차 접종 자만 영화 볼 수 있어서 붙어있는 거임
74,위드 코로나 중단 사적 모임 수도권 명이 수도권 명 다음 주 부터라넹
75,제아 언니 보러 가라고 우리 부장님이 월일로 차 예약했나 보다 백신 패스 덕보네
76, 백신을 누가 뭐라나요 백신 패스요 그게 문젠데 그걸 왜 강화하고 강제하재요
77,코로나 거리두기 방역 패스 백신 미접종자 사적 모임  총정리
78,주변에 백신 안 맞은 거부자들 왜 이렇게 많아 방역 패스 덕분에 알게 되었네
79, 우리나라는 작다 운을 한 적이 한 번도 없습니다 그리고 자영업자들 살려야 한다고 위드 코로나 가야 한다고 언론과 국민들이 그렇게 지속적으로 요구해와서 단계적 일상 전환을 실행하고 있는 겁니다 정부가 단계적 일상 회복하면서 언급했듯이 만 명은 기본 넘게 될 겁니다
80,후유증 때문에 백신 못 맞는데 방역 패스 강화 난처한 시민들 
81,백신 패스가 뭔 소리야
82, 오위다 코로나는 무슨ㅋ 망했써요 망했숴
83,어떻게 하지 나 이제 사 퍼 아예 못 할 듯ㅅㅂ  확진자 명 넘어가서 이제 위드 코로나 막을 텐데 그럼 또 피시방 시 제한이겠지   
84, 솔직히 지금 백신 패스 반대하는 거 보면 진짜 중증질환자 거의 없어요 ㅋㅋ오히려 진짜 중증인 사람들은 본인 면역 주위 민폐 끼칠까 위험해도 맞고 있는데 어디서 이상한 기사 주워듣고 들어 휴
85,쥐 날 그럼 백신 안 맞고 전염되면 죽던 살던 혼자해결해야되겟쮜백신 패스 반대 국민청원 만 돌파 대구 고 올린 청원서 이 정부 참 무능 출처  매일신문  네이버 뉴스 
86,백신 미접종자들은 조신하게 지내는데 백신 패스 들고 휘젓고 다니는 것들이 바이러스 전파하는 것이 현실이지 감염자 다수가 돌파 감염이지만 전파자는 대부분이 백신 접종자인 것이지
87, 아직 위드 코로나 중인데 담 주 중에 단계가 된다는 소문이
88, 와 이렇게 되면 위드 코로나 취소되는 게 아닌지
89,국민서명 광장 서명 국민서명을  달성을 하게 되면 언론사에 기사화를 시켜주고 해당 분야 전문가 공식적인 문서로 관계 당국에 공식적인 답변 요청을 하게 된다 백신 패스 반대 온라인 서명 바로 가기
90,위드 코로나가 위드 못 했다 백신 안 맞으면 식당 카페 영화관 못 가는 거리두기 온다
91,방역 패스 반대 고 청원을 보았다 확률을 과대평가한 대표적 사례  이번 주에 내가 복권을 샀을 때 복권에 당첨된 확률이 가 아닌 것처럼 백신을 맞는다고 해서 죽을 확률이 가 아니다 특히 미성년은 성년보다 백신 사망 확률이 낮고 지금까지 사망자는 나오지 않았다 미국도 음모론 할 거면
92,백신 부작용 심한 사람은 밥도 못 먹나요 백신 패스 확대 적용에 미접종자들 울분 출처  서울경제  네이버 뉴스 
93,시민회관 같은 정부 시설은 오늘부터 주간 백신 패스 도입한다네 이전에 대관한 공연은 어쩌라고 이런 미친 짓이지 관계자들은 비상이네
94,백신 패스 있어야 하는데 부스터 샷 맞을 생각이 없는 나
95,안철수가 무당이야 백신이야 방역 해결 사면 해결책을 내놔야지 안철수 방역 대책이라는 게 꼴란 현 정부와 똑같은 접종 확대하고 백신 패스 도입하자 잖아요 그걸 현 정부가 하면 실패고 안철수가 하면 되는 거야 그게 과학이야 ㅋㅋㅋㅋㅋㅋㅋ
96,울 이모 마블 짱 좋아하는데 영화관 전부 백신 패스 관 돼서 영화 못 봄 그러게 백신 접종하라니까 부작용 어쩌고 헛소리하면서 안 맞더니 쌤통이다 근데 내일 고기 사준대서 이 말은 속으로 삼켰다
97,퇴사해서 좋긴 한데 미래에 대한 불안감이 커 면접 때 백신 패스 왜 없냐고 하면 아파서 없다고 하면 아픈 사람 또 안 뽑잖아 ㅜㅜ
98,여차함 극장도 다 백신 패스 적용해
99,이제 백신 패스해야 현장 취재 가능한 시대  
100,안티 백서들 식염수 놔주고 백신 패스 허위등록해준다고 하고 식염수 대신 백신 놔주는 상상
101,아니 근데 화나네 집안이 다 심장이 안 좋아서 백신을 못 맞았는데 그럼 백신 패스 확대되면 이것도 못하고 저것도 못하고 팬텀도 못 보고 이게 젤 분함 뭐 어쩔 어쩔
102,백신 패스 생기고 나서 카페에서 생기는 일 접종서 보여달라고 하니 뺏지 보여주면 된다 카더만 하는 빌런 무조건 큐얼 해야 한다니 명부 작성한다고 해서 접종서 보여달라니까 짜증 오지게 내는 빌런 계도기간이 있으니 담부턴 해달라고 했더니 지랄하는 빌런
103,그인 정 범위에 대해서는 논란이 아직 있기는 하지만 여하튼 백신 맞아야지만 발급받을 수 있는 거 아니고 예외가 존재하긴 할 예정인데 백신 패스 백신 맞은 사람 이케 무조건이라 오해하는 사람 많네
104,단계적 일상 회복 차 개편 유보 특별방역대책 주간 실시 월일 주간 정부 발표에 따라 단계적 일상 회복 차 개편을 유보하고 재택 치료 전환 병상 확보 추가접종 시행 등 방역체계를 강화할 예정입니다 자세히 보기
105,ㅋㅋ 단계적 회복은 개뿔로 위드 코로나 한다 할 때부터 대충 알아봤다
106,백신 맞고 싶어도 못 맞는 사람도 있어요 백신 패스 아주 거지 같아 누구 대가리에서 나온 생각인지
107,백신 패스에 전석 오픈이라 이래도 저래도 걱정이네
108,백신 맞고 지인분 세명이나 돌아가셔서 나 절대 안 맞기로 다짐했는데 개 신발 백신 패스 적용하고 자빠졌냐 시발 정치도 모르는데 싹 다 암살하고픔 내가 ㅂ나라를 이끌어도 더 잘할 듯 개시 발
109,월일 시 월일 시 기준 대한민국의 코로나 바이러스 현황 오늘 사망자  명이 재원 위중증  명이 신규 입원자  명이 오늘 확진자  명이 드 코로나 단계적 일상 회복 코로나 바이러스감염증 국내 확진자
110, 대규모 연말 파티나 신년회 열고 싶다 작년에는 코로나 땜에 못 했고 올해는 일상 회복 단계라서 할 수 있으려나 했더니 어림도 없지 변동 바이러스와 사회적 거리두기 복귀
111, 위드 코로나 베타서비스 종료 임박
112, 영화도 백신 패스 관은 이미 그렇게 운영하고 있더라고요
113, 앗 네 백신 차까지 다 맞아야 하는 곳은 백신 패스 관인 걸로 알고 있어요
114, 학년에서만 확진자 명 나왔는데 위드 코로나라서 같은 반 아닌 애들은 그냥 계속 등교임
115,이탈리아와 미국에서 대량 적발된 백신 접종 위조 증명이 이제 백신 패스 한국에서도 출현할 가능성이 높아짐 안티 백서들의 뇌구조를 이해할 수는 없지만 하여간 맞기는 싫고 다니고는 싶다더라 무식한 인간들이나 그럴 것 같지만 독일에 선 프로 감독이 걸려서 잘렸다
116,아니 근데 시발 부스터 샷 안 맞으면 방역 패스 안 해준다는 건 대체 어떤 새끼 뇌에서 나온 거냐 백신 맞고 부작용 일어난 사람들 다 무시하겠다는 마인드네 진짜 문재인 이 씨발놈은 하루하루가 레전드다
117,병상 준비를 전혀 안 했죠 단지 백신 접종률만까지 끌어올렸는데 유럽에서 위드 코로나를 할 때 접종률은 이보다 낮았어 국민을 죽이는 정부 백신 접종으로 책임 회피 
118,백신 패스 진짜 무서운데 난 기저질환 심장질환 피부질환 다 있어서 안 맞고 있단 말이야 어떡함
119,다중이용시설 방역 패스면 백신 접종자  음성확인서 없으면 이용 못 한다는 거지
120,이게 방역이냐 민주당에 참 실망 백신 패스에 분노한 고 학생  매일경제 
121,근데 씨ㅡ발 도서관은 문 하나만 열고 백신 패스 이지 롤 하는데 왜 바로 옆 학식이랑 강의실은 왜 그런 거 없는데 시험기간이라 여기 있는 새기가 저기 있는 새기나 그게 그거인데
122,아트 나인은 일부터 백신 패스 관로 운영됩니다 입장 가능 백신 접종 유효 기준 백신 차까지 접종한 후 일 이상 경과 접종 완료다 외 입장 허용 기준  검사 음성 자시 간 내 코로나 감염 후 격리 해 제작 완치된 지 개월 이내 격리 해제 확인서 필요
123,백신 패스는 위헌 헌법소원 국가의 주체인 주권자의 존엄을 짓밟고 헌법이 보장하는 신체의 자유를 침해하는 백신 패스 청소년 학원 방역 패스 즉각 중단하라 어린이 청소년에게 백신 접종 자율권을 보장하라 전국교직원노동조합 
124,백신 안 맞은 네 자식새끼 때문에 다른 집 귀한 자식들 코로나 걸리면 책임질래 이런 쓰레기들이 집값 떨어진다고 장애인 학교 막으려 지랄발광하던 것들이다 왜 학원 독서실만 학생 학부모 방역 패스 불만 폭주 유은혜 현재로썬 백신 접종이 최선  다음 뉴스 
125,도서관에 백신 패스 도입 와 신난다  이용자와 죽을게  사서
126,백신 패스 되니 신검이 더더욱 필수가 돼버렸네
127, 위드 코로나라면서 이제 숫자놀이는 그만해야 될 거 같아요
128,위드 코로나 되니까 나 쉬는 날 맞춰서 사방천지로 끌고 다니네 낼은 진주성이냐  혼자 드라이브하는 게 좋다고 난 귀찮아서 안 깐 백신 패스 깔아야겠다 
129,백신 패스 학원 공부방 스터디 카페 또는 독서실 월 일부터 적용만 세세는 백신 안 맞으면 주에 한번 검사 코 쑤시는 거 해서 음성 나와야 함안 하면 못 감 예외사항 기저질환자 바이러스완치자개월이내 만세
130,백신 미접종자 식당 카페 출입 막는다 수도권인 제한 종합 중대 본 내주부터 주 수도권 인비 수도권인 제한 식당 카페도 방역 패스 적용 일주일간 계도기간 내년 월부터 청소년 찾는 대부분 시설 방역 패스 식당 카페 술집 등 운영시간은 강화 없이 현재대로 
131, 백신 패스 있으면 돼
132,위드 코로나 어쩌고 하더니 확진자 명이 넘어가니 호주로 도망간 건가  
133, 위드 코로나 하더니 망해ㅛ어
134,월일 시 월일 시 기준 대한민국의 코로나 바이러스 현황 오늘 사망자  명이 재원 위중증  명이 신규 입원자  명이 오늘 확진자  명이 드 코로나 단계적 일상 회복 코로나 바이러스감염증 국내 확진자
135, 하 맞아요 요즘 백신 패스 관련해 문제만 해도 헌법을 무시하는 수준인데 높은 사람들은 아무도 이런 말을 안 들어줘요
136, 절대 지켜야됩니다아ㅠㅠ흐규 백신 패스가 덕후 잡네 잡어
137,근데 단계적 일상 회복 단어 안 쓰고 위드 코로나라고 해서 좀ᄏᄏᄏᄏᄏᄏᄏᄏᄏᄏ
138,오늘 할 일 한 능검 강의 듣기 딴짓하기 백신 패스 찾아보기
139,월일 시 월일 시 기준 대한민국의 코로나 바이러스 현황 오늘 사망자  명이 재원 위중증  명이 신규 입원자  명이 오늘 확진자  명이 드 코로나 단계적 일상 회복 코로나 바이러스감염증 국내 확진자
140,아 맞아 저번에 백신 패스 간에서 봤는데 난 그냥 백신 패스 관인 최소한 백신 안 맞은 사람은 없겠구나 했는데 뒷자리 사람들이 팝콘 먹는 거 보고 먹고 싶다 생각한 동시에 그래도 지금 확진자 수가 먹는 건 좀 생각했음
141,안철수 국민의당 대선 후보 정책 기자회견 위드 코로나 문제와 정책 대안 전문
142, 근데 또 백신 패스 유효기간이 개월이라는데 어느 정도 텀 두고 맞아야 유효기간 길게 쓸 수 있을 것 같기도 해요 여하튼 해치워버리고 싶은 맘 저도 쌤쌤  ㅠㅠ
143,접종률에 들떴나 정부 오판이 일상 멈춤 의료체계 붕괴 불러 코로나로 고통받는 국민에게 일상을 돌려주려던 정부의 계획이 위드 코로나 도입 한 달 만에 파국을 맞고 있다 월 들어 신규 확진자 최다 기록은 번 바뀌었고 일 기준 명을 넘어섰다
144,차 접종 증명서 있어야 한다고 해서 난감할 뻔했지만 예전에 스캔 해둔 게 있었지 사실 그럴 것 같아서 찾아보았는데 어딘가로 사라진 나의 종이 접종 증명서와 백신 패스 잘 챙겨둔다고 어딘가 챙겨뒀다가 못 찾고 있는 게 분명해 이번에도 스캔 잘 해둬야지
145,뱀재앙버러지가 백신 패스를 식당 카페로 확대한 답니 타인은 상관없대요 효과도 없고 만수무강 못하게 하는 백신은 왜 그케 기를 쓰고 맞히려고 발악을 하냐 그 뱀새끼 믿을 수가 있어야지
146,전교조도 백신 패스 반대한다 웬일이래
147,대구 수성구에 거주하는 년생 현 고생이 청원한 백신 패스 반대 차 청원이 오늘 오후 시분 현재 명이 동의해 답변 요건을 충족했고 일반 언론에 도 보도되고 있습니다 국민 인권 침해하는 일방적인 백신 패스가 강행되지 않도록 청원에 동의해 주 
148,무능한 것들 위드 코로나는 뭐 얼어 죽을 이게 대체 뭐냐 관리도 못하는 것들이 표만 받자고 국민들 목숨을 담보로 장난질이나 치고  신규 확진 명 안팎 걷잡을 수 없다 출처  동아일보  네이버 뉴스 
149,찾아가는 백신ㅋㅋㅋㅋ 그냥 위드 코로나를 중지하세요
150,저희 아빤 확진자 두 명과 식사까지 했는데 일상생활하고 일주일 뒤에 검사만 받으라고 지침 내려왔어요 물론 차 접종까지 완료초밀접접촉자라도 다들 위드 코로나라서 일상생활 바로 돌아간다는 걸 이번 기회에 알게 되었습니다  확진자 급증으로 인력 부족해 역학조사 제대로 안된다는 것도
151,아니 왜 미접종자들은 백신 패스가 자기들의 자유를 제한한다고 그러는 걸까 그냥 안 맞고 안 돌아다니거나 맞고 일상생활하던가 둘 중 하나인데 ㅋㅋ 안아키는 해외나 국내 나 똑같네 흠
152, 패스 관 말고 그냥 일반이라고 해야 되나 그런 곳 있는데 거기 가면 백신 안 맞아도 될걸
153,아 방역 패스가 백신 패스인가 ㅋㅋㅋ 왜 헷갈리게 단어를 자꾸 바꿔
154, 나 차만 맞아서  근데 관이 백신 패스 관
155, 백신 맞으면 코로나 증상이 훨씬 덜하다는 점은 차치하고 백신 때문에 본인 건강에 문제 생길 것도 싫고 백신 패스 때문에 본인 자유에 문제 생기는 것도 싫으신 분이 왜 다른 사람의 건강과 자유는 고려하지 못하시는 걸까요
156,그래서 윤석열은 백신 패스 찬성이야 반대야 왜 노선을 확실히 안 해내가 그놈에 백신 땜에 지지도 접었는데 당신도 같은 생각이면 더 확실히 까게 백신에 대해 당신 생각을 말하라고 백신 패스 반대
157,상황 이렇게 되기 전에 백신 패스 회차 미리 만들어둔 엥개 최고네 ㅋㅋㅋ
158,월일 시 월일 시 기준 대한민국의 코로나 바이러스 현황 오늘 사망자  명이 재원 위중증  명이 신규 입원자  명이 오늘 확진자  명이 드 코로나 단계적 일상 회복 코로나 바이러스감염증 국내 확진자
159, 백신 패스 아니었으면 없었을 일
160,위드 코로나 중단 사적 모임 인원 축소 식당 및 카페 방역 패스 적용 출처  매일신문  네이버 뉴스 
161,방역이 목적이 아닌 백신 떨이가 목적 지금 당장 병상을 확보하고 방역에 매신해도 사망자 줄이기 힘든 상황인데 백신 팔이나 할 정도로 정부가 한가한가 아니다 그 책임 추궁 여론을 애들 방역 패스 논란으로 잠재우자는 수작 현실 악마가 존재한다면 물통 무정부
162, 접종 완료 퍼를 돌파했는데 왜 이 모양일까요 오미크론 최초 감염자도 접종 완료 자죠 미점종보다는 사회적 거리두기 부족이라고 보시는 게 맞을듯합니다 그리고 왜 보살이냐 하면 백신 패스로 인해 손해를 보고 있잖아요 반면 접종자들은 노래방 사우나 등을 돌아다녀도 되죠
163,백신 패스 난 관극을 포기할란다 목숨 걸고 백신을 맞을 수도 없고 관극 갈 때마다 어떻게 검사를 받아 그냥 내가 관극을 포기할래 힘들다
164,식당 카페를 비롯해 학원 방 영화관 공연장 도서관 독서실 스터디 카페 박물관 미술관 등을 이용할 때는 백신 접종 완료일로부터 주일과 지났다는 증명서나  음성확인서가 필요하다 다만 미접종자라도 식당이나 카페를 혼자 이용할 경우에는 예외로 두고 방역 패스를 적용하지 않는다 
165,이거면 연석도 안 되는 거 아냐 백신 패스 없으면ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
166,백신 패스 관 취식은 금지됐는데 띄어앉기는 미적용이네
