,text
18,"제7기 DIMF 뮤지컬아카데미 리딩공연 사전예약 오픈😚

지금 바로 DIMF 홈페이지를 통해 예매하세요❕

*백신패스 객석운영
백신 접종 완료(2차 접종 후 14일 경과)관객에 한하여 관람 가능

*미취학아동 입장불가

&lt;최종 성과발표회 리딩공연&gt;
일시: 2021년 12월 10일(금)
장소: 꿈꾸는씨어터 https://t.co/FFGGwcdkZ2"
19,"위드코로나라고 제일 먼저 회식부터 하려드는 회사인간들 ,, 넘 구려"
20,"자치행정신문 금천구, 위드 코로나 대비 2022년 예산안 6,226억 원 편성 https://t.co/leIE6KljjN"
21,...단계적 일상회복이 맞냐 https://t.co/lzwiZyFia2
22,위드코로나!
23,단계적 일상회복을 택한 이상 더욱 개인보호에 힘써야 하는것..
24,11월 위드코로나 시행으로 제주도 항공권 요금이 인상되었네요 #제주항공권 #제주여행 #위드코로나 (출처 : 제주도 2박.. | https://t.co/GNOYAFlnCQ 블로그) https://t.co/hDMUugqaRQ
25,"健康码(치엔캉마. 건강큐알코드)는 백신패스가 아니다. 건강하다는 증명서이다. 녹색이어야 대중교통, 상점 등에 출입할 수 있다. 황금방패 표시가 추가되면 백신접종완료자임을 증명하는 백신패스가 된다. 접종완료증명서를 번역해서 관리병원에 가야 받는다. 그나마 공증은 안해도 되니 다행이다. https://t.co/5gNJbJBdI4"
26,@Hushxx00 예에ㅔㅔ에 위드코로나🤤
27,@10kgmincedbeef 이것이...위드코로나...?
28,"@shalom_wr @summerstalgia 우왘 그러게요 두 개 같이 장바구니 넣고 주문하면 된다네용!! 감사해요❤️ 위드코로나로 어른들 스트레스 푸는 피해를 애들이 고스란히 보고 있는 거 같아서 안쓰럽고,, 그르네여 😥😭"
29,"""위드코로나 잡아라""... 백화점3社, 겨울 정기 세일 돌입 

https://t.co/75OgwAi69k"
30,"월요일+데이때확진자다녀감+겨울콤보로 정신없는와중에 pcr검사나간 입원대기환자가 양성일지도모른댜
위드코로나파워....."
31,위드 코로나가 코로나랑 같이 가서 터지겠단 뜻이였나? https://t.co/9QC98n8bHb
32,"일 하나도 안 하고 깍두기처럼 유사 학생회의 일원으로서 친구들 잔뜩 만들고 선배들이랑 친해져서 일하시는거예요?헐~ㅋㅋ힘들겟당열심히하세요!! 하고 난 놀고 싶다 진짜 강의만위드코로나하지말자
대면하면 교수님 목소리가 1배속인데 그걸 어케 듣는데 https://t.co/UjVyZBsYju"
33,"워크샵 운영만 해봤지 내가 참여하는 건 정말 오랜만이었다. 심지어 나를 안다는 사람도 있었는데, 누구신지 기억이 가물가물해서 너무도 당황했다. 무튼 이제 ‘위드코로나’와 함께 슬슬 이런 사회적 연결이 다시 시작되려는 것 같다."
34,"@kiki_i0 내년 여름에는 진짜 위드코로나 하지 않을까요,, 근데 또 마스크 쓰니까 겨울엔 얼굴 보온도 되고,, 가끔 익명성도 보장되서 좋은 면도 있더라고요 ㅎㅎㅎ 이제 마스크 벗고 제 눈코입 들고 못다니겠어요 하핳"
35,@JOURNEYZ8 ??! 백신패스관 찬스 써야할둣
36,"신세계 센텀시티
8층 골드문트
단계적 일상회복 오디오추천
안전한 방, 집에서 오디오로 힐링을??
네임 뮤조QB2로 듣는 코로나블루 해소
블루투스, 스트리밍 플랫폼에 TV까지 연결가능?
집에서, 매장에서, 여행지까지 다목적 사용가능
부산, 울산, 창원, 포항 오디오추천
https://t.co/9dyZ8OWBuj https://t.co/UwBGNnF5Zl"
37,@Joon93_ 단계적 일상회복에 따른 회사의 관행들이 하나둘… (저도 목요일 지부 회식 잡힌…)
38,아니ㅜ영화볼려고햤는게 백신패스관이라못봄
39,@olybg 위드코로나의 폐해 아니묘..
40,"@Yeolmae_1st 맞아요… 차라리 그게 더 좋아 ㅠㅠ
위드 코로나라… 무인 가능하지 않나 싶은데 ㅠㅠㅠㅠㅠㅠㅠㅠㅠ"
41,@paranshak 위드코로나 좋네요. 🤣  아직 안 자요?
42,@San_Jun1per0 무슨일이야 위드코로나 하고 나니 난리난 설대입구역
43,"네덜란드, 거센 정치적 반발에 미접종 대상 '백신 패스' 계획 철회 - 이번 조치는 사회적 분열을 초래할 수 있다는 우려의 목소리가 나왔다. 기독교 민주당의 조바 판 덴 베르그 의원은 ""양극화는 우리를 이 위기에서 벗어나게 하지 못할 것""이라고 말했다. 
https://t.co/PvJY1v3IoC https://t.co/wBB3iaIm6W"
44,11월 위드코로나 시행으로 제주도 항공권 요금이 인상되었네요 #제주항공권 #제주여행 #위드코로나 : 네이버 카페 https://t.co/jtlgubVGi4
45,"3
위드코로나의 개념은 다아실것입니다.
코로나를 중대한질병으로 취급하지않고,
독감과같은 일상적인질병으로 여기겠다는것입니다.모든 감염자를 관리하지않고 위중증환자만 관리해서
일상으로 돌아가는정책입니다.
즉 단계적일상회복입니다."
46,"확산을 키우는 위드 코로나.
절반까지 번져야 중단할래?
수습도 못할 저지레만 싸질러 놓으면서 정작 사과는 없고~ 
피해자들 대하는건 너그들도 다를거 없다 이거야.무책임한!"
47,@ 나는 케이팝한정 위드코로나... 그런 거 안 했으면 좋겠어 시셈하고질투하고어쩌구
48,"김 총리 ""방역상황 급속히 악화..내일 '단계적 일상회복' 방향 결정"" https://t.co/wEDztuegxb"
49,@Niel_princess_ ㅠㅠ제발 11월까지만이라도 버텨주길..지금이 노인층 백신맞은지 6개월지나는 시점이라 백신효과가 떨어지기 시작하기도 했고 사람들이 위드코로나라고 엄청 돌아다녀서 확진자도 위중증상자도 많대요
50,"사실상 위드 코로나 끝난 유럽…각국 ""봉쇄조치 돌입"" https://t.co/tGxwPg92Jp"
51,좋은 말로 할 때 위드코로나 폐지하고 다시 사회적 거리두기 및 비대면으로 전환해라 https://t.co/hImGw9KYQu
52,"김해시도시개발공사, 단계적 일상회복에 따른 수영 강습프로그램 재개: 김해시도시개발공사는 지난 2020년 2월 23일 코로나19로 인한 강습프로그램 중단 이후 1년 9개월의 공백을 깨고 장유, 동부 스포츠센터는 11월 23일, 해동이스포츠센터는 오는 12월 1일부터 수영강습… https://t.co/7kWvfYjbQs"
53,위드 코로나 하자며 당연한 결과인데 뭘 그렇게 놀라
54,꽉 찬 병상·쏟아지는 확진자..위드코로나 3주차 '위태' | 다음뉴스 https://t.co/wrdC9OMq2z
55,어차피 위드코로나인데 숫자놀음 작작하지 https://t.co/Pw2egc0Usb
56,단계적 일상회복 해서 이제 공연도 표 엄청 많이 파네......
57,"무능한 문재인, ‘위드 코로나’ 완전히 실패
‘위드 코로나’ 당장 취소해야

유일한 대책은
‘도시 봉쇄’ ‘거리두기 강화’ ‘재택 근무’ 즉각 실시

“코로나 정권 ‘문재인 정권’은 사상 최악의 정권”
“정권 교체! 정권 교체!” 국민들 아우성 https://t.co/bmiv9nBHOy"
58,@cocodayong 우와ㅠㅜㅠㅅㅂ 위드코로나하지마걍
59,"11월 13일 23시 (11월 13일 00시 기준),
대한민국의 코로나바이러스 현황

[오늘 사망자] 32 명
[재원 위중증] 485 명
[신규 입원자] 549 명
[오늘 확진자] 2,325 명

#위드_코로나 #단계적_일상회복
#코로나바이러스감염증 #국내확진자"
60,"11월 20일 14시 (11월 20일 00시 기준),
대한민국의 코로나바이러스 현황

[오늘 사망자] 29 명
[재원 위중증] 508 명
[신규 입원자] 650 명
[오늘 확진자] 3,212 명

#위드_코로나 #단계적_일상회복
#코로나바이러스감염증 #국내확진자"
61,난 백신패스 가능하지만 기꺼이 코 찔릴 준비 하고 있었어..ㅎ
62,위드코로나 빠빠이
63,@kyong_03 백신패스관ㄱㄱㄱㄱ팝콘가즈아♥♥♥
64,"엥...스우파콘 함성소리 뭐임...??
아무리 위드코로나여도..지킬건 지켜야지...공연계 이제야 슬슬 풀리는데...ㅠ 그 뒤 공연들도 있는디..."
65,이런 상황에 위드 코로나 ....  이러다 오프콘 다 취소 되는거 아니냐고 ..... https://t.co/2hCY0h7ig6
66,이럴거 알고 위드코로나 한거 아닌갛ㅎㅎㅎ 위드코로나라면서 왜 이래 위드가 뭔데 위드위드 위드라구요 위드.....
67,"위드코로나!!
이제 유흥에 젖을때군 ㅋ

#청주 #오송  #세종  #마사지 #노래방
#페이만남"
68,@joongangilbo 이니가 해냈다 위드코로나 훠훠훠
69,"오늘 헬스장 백신패스 등록하면서 보니 벌써 접종하고 2달이나 지났어.....
점점 약발 떨어지는 시기이니 더더욱 조심해야지ㅠㅠㅠㅠㅠ
그냥 3달부터 부스트샷 맞게해주면 안되니....."
70,존나개짜증나베놈2예매다해놨는데백신패스2차까지라못가
71,"11월 22일 18시 (11월 22일 00시 기준),
대한민국의 코로나바이러스 현황

[오늘 사망자] 24 명
[재원 위중증] 515 명
[신규 입원자] 592 명
[오늘 확진자] 2,827 명

#위드_코로나 #단계적_일상회복
#코로나바이러스감염증 #국내확진자"
72,"내놔
위드코로나
위드양솔콘"
73,"어제 개봉해서 드디어 보러갈라규 했더니만
포티 뽑을수있는 씨지비는 백신패스관만있어^^ 돌아버리겠네 이시국에 거길 어케가"
74,지금 저거 어떻게든 팬들 얼굴보고싶어서 위드코로나 기다리다가 대면 잡은거지.. 하 진짜 이 미친 팬사랑 진심 너무 사랑해
75,위드코로나 괜찮은거냐…. 모든회사가 지금 회식열풍이고..
76,"위드 코로나 지금 하지 말자 

난리다..  휴"
77,신호 기다리는데 왼쪽에선 백신패스 반대한다고 확성기틀고 오른쪽에선 오징어게임 바가지 달고나를 팔고있고 뒤에선 예수천국 불신지옥 연설을 하고있는 이 현장이 하나의 대한민국 사회 축소판같다
78,위드코로나고 머고 걍 학교가기실어
79,5천되면 위드코로나 그만한다고 하지 않음?
80,"사실을 전달하는 것도 사실을 받아들이는 것도 중요하기는 한데
이걸 맥락상 ""예방접종은 효력이 없는 거 아니냐""라든지 ""위드코로나 결정한 거 너무 멍청하지 않냐""라고 하는 건 좀 위험한 생각인듯 https://t.co/ZYOduqzmpa"
81,"어쨌든 정부 공식 입장은 대략 아래 기사와 같습니다.

https://t.co/eOdRZ2fn4J
위드코로나 평가 또 연기…추가접종자 방역패스 검토 안해(뉴스1)
위드코로나 위험도 평가기준 18일 공개…다음주 평가결과 발표
수도권 중환자 병상가동률 80% 육박…병상확보 비상"
82,"[화순소식] '단계적 일상회복' 문화·예술 행사 잇따라

[연합뉴스 2021.11.15]
https://t.co/FeYGWEX1pG"
83,광란의 위드코로나 파티 https://t.co/M3uzNrKKbJ
84,@mamo100444 그니까ㅠㅠㅠㅠ그래도 이제 위드코로나 시작해서 그나마 살만하긴함ㅠㅠ
85,"인천시장은 뭐랄까...단계적 일상 회복 이전에 확진자 증가하면 ""시장인 저부터 똑바로 하겠습니다.""소리라도 했는데 이후에는  말을 안 하는게...실질적으로는 중증환자 비중이 높아져서 지자체장으로서 크게 할 수 있는 일이 없을 수도 있는데..."
86,그 확진자 일정 수 넘으면 다시 위드코로나 해제된대 나 전면등교 시른데 그렇다고 확진자 나오는것도 싫음
87,"11월 19일 03시 (11월 18일 00시 기준),
대한민국의 코로나바이러스 현황

[오늘 사망자] 29 명
[재원 위중증] 506 명
[신규 입원자] 566 명
[오늘 확진자] 3,292 명

#위드_코로나 #단계적_일상회복
#코로나바이러스감염증 #국내확진자"
88,"오후 6시 전국 신규확진 2022명..18시만에 2000명 돌파 | 다음뉴스 https://t.co/em4p5LQpRp 
단계적 일상회복 이후 오후 6시 첫 2000명대"
89,"(문화체육과) 대전광역시 단계적 일상회복, 지역축제 기본 안내문 https://t.co/qXlmH9fVjV"
90,@H38363 운동하러 헬스장 갈라니게 백신 패스인지 뭔지 때문에 출입을 안 시켜주더라고.
91,"11월 16일 20시 (11월 16일 00시 기준),
대한민국의 코로나바이러스 현황

[오늘 사망자] 22 명
[재원 위중증] 495 명
[신규 입원자] 463 명
[오늘 확진자] 2,125 명

#위드_코로나 #단계적_일상회복
#코로나바이러스감염증 #국내확진자"
92,"11월 14일 07시 (11월 13일 00시 기준),
대한민국의 코로나바이러스 현황

[오늘 사망자] 32 명
[재원 위중증] 485 명
[신규 입원자] 549 명
[오늘 확진자] 2,325 명

#위드_코로나 #단계적_일상회복
#코로나바이러스감염증 #국내확진자"
93,그냥 좆됐지 뭐 위드코로나 ㅇㅈㄹ 코로나 걸려서 함께 하려고 위드코로나라는 거임? https://t.co/Mbqi41vNgJ
94,위드 코로나 시작하면서 느끼는건데 진짜 식당 시끄럽다….
95,"📢 #코로나19 #경북 관리 현황 알림(11. 23. 0시 기준)

➡경북 총 확진자 10,655명(전일대비 +51명 발생)

[위드코로나 일상회복 1단계(11.1~)]
✔다중이용시설 24시간 영업 가능(유흥시설 제외*)
*인구 10만명 이하 12개 군 예외
✔사적모임 접종여부 상관없이 12명까지 허용 https://t.co/lkc6Sg0inL"
96,"""백신패스반대 백만 온라인 서명 운동"" https://t.co/9cPvn5N4cW 

국민 서명 광장 / 백신 패스를 반대합니다. https://t.co/rcJwgkF96V"
97,"위드코로나 시행 경기 사망자 급증…11월 주당 45.5명 사망, 10월 比 77%↑ (출처 : 뉴스1 | 네이버 뉴스) https://t.co/Khf7cdGqY1"
98,드디어 틱틱붐 극장에서 봄… 자리 남는데가 백신패스관밖에 없었어서 걱정했는데 거리두기관 취소표 풀린거 급하게 예매해서 보러갔음  https://t.co/K18ra1KUy0
99,여기 백신패스관인가요? https://t.co/c7okqU7ySG
100,아주 위드코로나 됐다고 다들 어딜그렇게 나다니는지ㅜㅜㅜㅜㅜㅜㅜ차 개막혀 진짜
101,"📍추가티켓오픈
2021년 11월 17일(수) 오후 1시

✔코로나19 단계적 일상회복 거리두기 조정에 따라 1차오픈 기간 내의 추가좌석을 오픈합니다.
✔인터파크 티켓 예매 시스템 정비를 위해 11월 17일(수) 오전 10시~ 오후 1시까지 일시적으로 판매가 중단됩니다.  

🎫 예매: 인터파크"
102,"전남경찰, ‘단계적 일상 회복’시행 대비 및 연말 음주운전 집중단속 실시- 음주운전 사고 예방을 위하여 내년 1월말까지 실시
https://t.co/WByScdnh1P"
103,"20년 7월 부터 감염자 추적도 안해, 마스크도 안써도 되고 백신 패스도 안하고..."
104,@mbcnews 집회 주최자는 qr인증과 백신패스 확인했는지? 안했으면 방역법 위반이다. 처벌하라.
105,"우리나라도 11월부터 위드코로나 한답시고 방역수칙 완화를 벌였었다.

그 결과 하루 확진자 3000명 돌파라는 참으로 뻔하고 답답한 결과가 벌어졌다."
106,아니근데 ㅋㅋㅋㅋㅋ 위드코로나 공식용어 아니라고 자제하라고들 하는데 그대로 다들 위드코로나 쓰네 어감이 쉬워서 그런건지
107,단계적 거리두기 완화라고 불러달라고 호소해도 굳이 위드 코로나 라고 하니까 어감 바뀌면서 이지랄이 나는거지
108,"@melon 대박적인 라인업을 들고 왔을 멜뮤에... 전 저의 첫 오프를 멜뮤로 가고 싶어요. 앞으로 기회는 많고 여러 번의 시상식이 있겠지만 모든 게 안되었던 코로나 시국 이후(현 위드 코로나)의 시상식은... 얼마나 모든 게 멋질까요. 올해도 믿습니다 멜뮤!! 레전드 무대, 라인업, 레전드를 가져올 거라고!"
109,@Hugh_is_fun 근데 용산 영등포는 죄다 일반관인데 구로만 백신패스관이라서 포스터 불안하네요.. 씁.. 용산 6시가 제일 베스튼데 와 저기는 빠지는걸 못보고있어요 ㅋㅋㅋㅋㅋㅋ
110,위드코로나 시행으로 제주도 항공권 요금이 올랐네요 #제주여행 #제주항공권 #위드코로나 : 네이버 카페 https://t.co/TBV71JY8Xd
111,위드코로나라곤햇는데 너무 함께하는거아니냐 서울경기? 천육백명이 뭐에요
112,무예신문 무예신문 [무예 만평] 실내체육시설 백신패스 적용 ‘환불대란’ https://t.co/fbNa8SJHoF https://t.co/SyWzVEDpZb
113,생각 못하고 위드 코로나 어쩌구 했나 https://t.co/ZNOVbZnNaE
114,"위드코로나어쩌고라면서 뭔 국민에게 당부질이야
＂전면등교·연말모임, 코로나 방역 위험 요인＂ (출처 : 한국경제TV | 네이버 뉴스) https://t.co/HZbM5xwKX1"
115,위드코로나 아님? 걍 책임지기 싫어서 그런가
116,"해남미남축제 위드코로나 선도축제로 안전하게 열려 
https://t.co/ir7Kb68aFQ"
117,"천은미 교수는 ""엄청난 위기다. 정부가 단계적 일상회복을 일부분 중단할 수도 있는 상황이 올 수 있어서 고심해야 하는 단계""라고 강조했다.
 https://t.co/xEy9tG0Q6q"
118,"""10년에 한 번 올 부동산 투자기회,
美 주택시장에 있다""
ASK 글로벌 대체투자 콘퍼런스
주택 재고 절대적 부족
가격 오르고 임대료 상승세
10년간 공급이 수요 못 따라가

日 오피스빌딩·물류센터 인기
스웨덴 등 북유럽 인프라도 유망
위드 코로나로 美·유럽 호텔 관심
https://t.co/smZJARwQhb"
119,감기약 처럼 코로나도 병원 처방없이 먹는 약이 약국에 나올꺼자나 그러니깐 위드코로나로 자가격리를 시키기보다 백신효과가 얼마인가 그 역량을 체크하고 코로나 더는 국가가 관리통제규제 하지말고 독감처럼 자기돈내고 백신 맞고 감염되어 아프면 아픈대로 죽고 죽는걸 막을수 없는거라본다
120,"머지 위드코로나 되기전엔 안아서갓는데 버스타도 위드코로나되고. 안기는커녕 발디딜 정도로 힘드네 버스가...

다들 위드코로나되서 나오는건가..

제발 소집해제까진 안아서 버스타고 퇴근하고 싶다...코로나땜에 맨날서서...퇴근.."
121,아뭐야씨잘 백신패스관은 취식가능해? 일찍처말하셈
122,"이번 뉴이스트 콘서트 본인 확인 철저하게 합니다
아무래도 코로나시국이라 ❗️백신패스확인이랑 
공연장에 누가 들어가는지 ❗️동선체크 때문에 그런것 같아요!!!!!!
그냥 취소표나 일반예매 노리는게 좋을 듯 합니다 ㅠㅠ 이번에 진짜 양도표 의미 없어요..🥲 https://t.co/wmBpLV4YO1"
123,저기 모여있는 사람들을 보니까 위드코로나가 너무 실감난다 떨려 어떡해
124,위드코로나 중인 핀란드 최근 3일 코로나 일일 신규확진자 수. 매번 비교하지만 대한민국 은 인구 수나 인구 밀도 고려하면 진짜 선방 중인 것입니다. 문재인 대통령님 정은경 청장님 그 외 모든 방역 일꾼들께 감사드립니다. https://t.co/DengxASUD7
125,위드코로나(단계적 일상 회복) 기대감에 소비자심리지수가 세 달째 상승했다. 하지만 치솟는 물가에 생활형편전망은 오히려 전월보다 1포인트 낮아졌다.https://t.co/JtCizINJW9
126,"김 총리 ""방역상황 급속히 악화..내일 '단계적 일상회복' 방향 결정"" | 다음 뉴스 https://t.co/7jq3q3Cqj0"
127,아직 장르만 로맨스 예매자가 나밖에 없어 백신패스관인데 이따가도 나 혼자 보는거면 꽁짜쿠폰으로 팝콘 먹을거야잇 근데 또 혼자 보는거 은근히 좀 그래 나 한사람을 위해 영사기를 돌려야 하자넹
128,"수능 끝나고 친구들이랑 시간 잡아서 수능할인으로 놀이공원 가기로 했는데 그때 딱 코로나가 심각해지면서 못갔던 기억이.....
이제는 위드코로나니깐 신나게 놀러다니세요!!!"
129,"12월 FOMC 관련 
12월 3일 미 월간 고용 및 12월 10일 소비자물가지수(CPI) 중요성 높아졌음. 외환시장은 각각의 이벤트를 앞두고 사전적인 달러화 매수로 대응할 가능성 높음. 단계적 일상 회복 과정에서 유럽 등지의 방역 상황 악화도 달러화 매수 심리에 힘을 보탤 것으로 사료됨."
130,"설마 정말 위드코로나 끝내는 거 아니지? 
저기요 저 콘썰 가야되요ㅠㅠㅠㅠㅠㅠ"
131,@mewmiwo @mg_note0126 위드코로나..그쵸..유럽다시 봉쇄조치들어가구... 태국도 답도 없는데 🥲 그와중에 오프행사다시하고 대면콘서트도 할꺼같고... 언능뮤수파싯 마스크 뚫고나오는 미친외모봐야하는데!!!!!
132,"위드코로나인게 엄마 스케줄 느는거 보니 느껴지네🥲  이렇게 집밥은 다시금 멀어지고....
#MAMAVOTE #BTS"
133,"아니 근데 단계적일상회복 중단여부 내일 발표한다는데 오프콘 타이밍 오졌음
대관한참전에 해놓고 왜 티켓팅 안띄우냐고 왈왈댔던거 미안해.. 사실 가는거 무섭긴함.. 근데 안갈수도없고.. 나름 백신+pcr완료자만 입장에 박수만 허용이니까 조심해야쥐.."
134,"위드코로나 시대에 맞는 비대면 학습시스템💻
알짜배기 계시록 말씀 총집합💡!!

🌸 계시록12장 시청하기
https://t.co/BVfw8V8y9X

#마지막나팔소리 
#신천지온라인세미나 
#전세계_최초 
#요한계시록_전장1_22장 
#예언과성취_증거

#무료성경공부
https://t.co/eTupyWY5NU
신청번호:11018 https://t.co/DKdYAIoTxT"
135,@pom5645 @AsahiYou1218 이제 백신패스 있어서 능동감시였던걸로..
136,"내일부터 당분간 오픈시간이 12시로 조정됩니다

11월
OPEN 12:00 
CLOSE 20:30

12월
OPEN 12:00
CLOSE 21:00

다음날(12월)부터 30분 늦은 9시까지 영업하겠습니다 위드코로나로 조금씩 풀리기도 하고, 여러가지 상황을 봐서 시간대를 조정하도록 할게요 https://t.co/nY5oFqYBE7"
137,"시발
이게다~위드코로나때문이다
디져그냥 https://t.co/uqyy6rksmc"
138,"위드 코로나 하자매
ㅅㅂㅋㅋ"
139,위드코로나하니까 외국도 그렇그 다시 심해지는 것 같아
140,"위드코로나 수능 D-1...""마스크 착용·마실 물 준비""https://t.co/QHReWL97vg"
141,"응단 백신패스 방침을 알고싶다
못찾겠다 꾀꼬리"
142,@gba_9u 위드코로나되고 바쁨?
143,"🔔백신패스를 반대하는 세계시민 걷기대회 전세계 45개국 동시 진행❗
✅20일 오후 3시부터 서울(홍대역 2번 출구),부산(해운대역 5번 출구),대전(대전역 서광장)에서 각각 진행❗
https://t.co/e9EtEETnnr"
144,양아치 새키들.. 이제 위드코로나 하겠다 우리가 다쓸어버린다 내년은.
145,"신세계 센텀시티
8층 골드문트
단계적 일상회복 프로젝트
12월 크리스마스의 감동과 즐거움을
미리 준비하셔야죠?
Muso for Bentley Special Edition으로
크리스마스의 감동과 즐거움
골드문트매장에서
체험이 가능합니다.
신세계 센텀시티 매장 오픈 4주년 특별함까지?
https://t.co/KWYAeiTwtF https://t.co/Le9SOyZydB"
146,월요일 화요일인데도 2천명아래로 떨어지지 않는거 보면 이거 아무래도 단계적 일상회복에 제동이 걸릴 거 같기도 하고…
147,글고보니 백신패스관은 접종완료한 거 인증해야 하는데 제대로 들어가셨을지 모르겠네. 거기서 알려드리고 바로 떠나서 모름.......
148,"짜증나 이번년도 내 첫 남자배구 직관이 눈앞에 있는데 위드코로나 폐지 이지랄하는 새끼들땜에... ㅉㅉ 내가 뭐때문에 모더나 1,2차맞고 2주를 기다렸는데..."
149,@thenitsok 네 찾아보니까 백신접종증명서로 입국하고 가서 유럽백신패스 발급받으면 된댜요 ㅠㅠㅠㅠㅠㅠㅠㅠㅠ
150,문 대통령이 꼽은 '위드 코로나' 3요소…내년 1분기 완료 전망 https://t.co/6Dm45id24t
151,"@7ldan_TA 미리 말씀드리거나... 위드코로나라서 상황에 따라 가능할 수도 있단 담임쌤의 말이 있긴했음(추측이라 불확실함) 희희... 한달 지나면 술도 마실 수 있다구요 입대고 기억소실 후 다음날 되어 있을듯
쪼아요 함께 놀아요 즐겁게 놉시돠~~!!!"
152,@ipepiu ㅁㅈㅁㅈ요 백신패스관안갈라고요(뭐야?) 저는 아직 견문이 부족해서 ㅎㅅㅎ 푸푸님한테 마니배워갈랍니다용 케케
153,이번콘 백신패스구나
154,"주한 영국대사는 해외에서 백신을 접종한 한국 거주 외국인들에게 백신 패스를 주지 않는 차별적인 한국 정부 정책을 비판했다.

https://t.co/uZZTgJIZyx https://t.co/lXmRVPcVdV"
155,"코로나 생키야 니따위가 날 막을수있을꺼라생각해!!!?어!!!!? 아 ,, 코로나는 날 막을수있지,, 하느님 부처님 천지신명 어머님 아버님 선생님 교수님 대표님 회장님 제발 위드코로나 안풀리게 해주세요.. 제발요.. 
아이 싸가지없는넘아! 나 플파티 한번만 하자! 쫌 놀자! 쒸익씨익 펨바텀 구해요 찡긋"
156,"유튜브) 백신패스 집단소송 청구인 모집

백신패스(방역패스) 헌법소원 준비중인 양대림 학생이 청구인 더 모집중이라고 함. 변호사는 이미 세 분 선임하여 법률검토중이라고.

저의 경우는 이미 참여했습니다. 
참여의시가 있는 분들께선 영상보시고 결정하시길 바랍니다. 

https://t.co/hW7fXVXhhG"
157,"11월 15일 08시 (11월 14일 00시 기준),
대한민국의 코로나바이러스 현황

[오늘 사망자] 20 명
[재원 위중증] 483 명
[신규 입원자] 465 명
[오늘 확진자] 2,419 명

#위드_코로나 #단계적_일상회복
#코로나바이러스감염증 #국내확진자"
158,빨리 필테가고싶어 백신패스 으으😫
